No,Judul,Tahun
1,Haversine,2022
2,Pengembangan game edukasi tiga dimensi life as network support berbasis desktop untuk mengetahui kemampuan troubleshooting jaringan siswa mata pelajaran komputer dan jaringan dasar pada kelas X TKJ,2022
3,Pengembangan e-modul perangkat lunak desain berbasis project based learning untuk meningkatkan hasil belajar siswa smk-dkv kelas xi,2022
4,Hubungan keaktifan mahasiswa berorganisasi dan indeks prestasi kumulatif (IPK) mahasiswa pendidikan teknik informatika 2018 Universitas Negeri Malang dengan kesiapan menjadi guru kejuruan,2022
5,Pengaruh blended learning berbantuan nearpod dan autoplay terhadap hasil belajar siswa pada mata pelajaran informatika di SMKN 8 Malang,2022
6,Hubungan motivasi belajar mata kuliah metodologi penelitian dan minat baca terhadap kemampuan menulis karya ilmiah mahasiswa jurusan teknik elektro Universitas Negeri Malang,2022
7,Pengembangan sistem pendukung keputusan pemilihan mata kuliah peminatan dengan metode analytic hierarchy process (AHP) untuk mahasiswa Prodi PTI di Universitas Negeri Malang,2022
8,Peran lingkungan belajar dan minat melanjutkan studi terhadap ekspektasi memilih karir pada siswa kelas xii jurusan teknik komputer jaringan di kota malang,2022
9,Pengaruh penerapan project based learning dengan pendekatan saintifik terhadap hasil belajar peserta didik pada mata pelajaran komputer jaringan dasar peserta didik tkj smk negeri 2 turen,2022
10,Pengaruh pemanfaatan media pembelajaran audio visual dengan model pembelajaran discovery learning untuk meningkatkan hasil belajar peserta didik pada mata pelajaran komputer dan jaringan dasar di SMK NU Gondanglegi,2022
11,Hubungan kegiatan praktik industri dan nilai akademik siswa jurusan multimedia SMKN 1 Depok dengan kesiapan kerja,2022
12,Perbedaan pembelajaran e-modul berbasis problem based learning dan project based learning pada mata pelajaran dasar-dasar pengembangan perangkat lunak dan gim untuk meningkatkan hasil belajar siswa SMKN 5 Malang,2022
13,Hubungan adversity intelligence dan kemampuan vokasi dengan kemampuan pembelajaran calon Guru SMK Abad 21 pada Mahasiswa S1 Kependidikan Jurusan TE FT UM,2022
14,Inovasi pengembangan modul e-book pemodelan perangkat lunak berbasis project based learning untuk kelas XI di SMK,2022
15,Penerapan model problem based learning (pbl) daring dan problem based learning (pbl) luring terhadap hasil belajar siswa SMK Brantas Karangkates,2022
16,Pengembangan Website sumber belajar untuk meningkatkan programming skill pada pembelajaran pemrograman berorientasi objek bagi siswa Kelas XI SMK,2022
17,Pengembangan e-Learning berbasis gamifikasi pada mata pelajaran Basis Data untuk menumbuhkan motivasi belajar siswa kelas XI Rekayasa Perangkat Lunak di SMK,2022
