Id,Thesis,StudyProgram,KBK
1,Sistem penilaian tingkat kesulitan level pada game platformer menggunakan obstacle matrix / Oky Eka Noorrafif,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
2,Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan naïve bayes pada model kognitif pemain game chem dungeon / Panca Aditya Kusuma Wardani,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
3,Desain dan pengembangan permainan amogasakti trading card game bertema mitologi pewayangan menggunakan game development life cycle / Rifki Fajar Fitrianto,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
4,Pengembangan game pengenalan ekspresi wajah manusia untuk anak autisme menggunakan metode design thinking / R. Rr. Yaritza Haq Indra Hart,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
5,Pengembangan dan implementasi desain ui/ux visual game smoking awareness apps menggunakan metode design thinking / Megan Karuna,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
6,Sistem rekomendasi pembelian item menggunakan algoritma simple additive weighting (saw) pada game seal online blade of destiny / Dwi Nur Muhamad Revian Fitranto,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
7,Pengembangan game anatomia untuk anak-anak berbasis android menggunakan metode design thinking / Syafirah Aisyah,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
8,Analisis Permainan Battle Royale Player Unknown’s Battlegrounds Mobile (Pubg Mobile) Terkait Faktor-Faktor yang Mempengaruhi Minat Pemain Berdasarkan Game Design Factors / Manda Maulana Musthofa,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
9,Mengukur flow dalam game edukasi penjelajahan kebudayaan Indonesia berbasis 2d platformer dan augmented reality / Mohamad Firzon Ainur Roziqin,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
10,Kategorisasi musik latar game dengan menggunakan kombinasi k-nearest neighbors dan agglomerative clustering / Tenty Luay Sari,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
11,Analisis game populer pada platform steam menggunakan metode k-means clustering dan k-nearest neighbor / Tri Ananda Nugrahandika Saputra,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
12,Prediksi kesuksesan game indie menggunakan decision tree / Marwa Khairunnisa,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
13,Pengembangan game edukasi untuk anak autis menggunakan metode design thinking / Maharani Nadya Raharjo,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
14,Pengaruh diegetic user interface dalam meningkatkan aspek immersion pada game bergenre role playing game / Arief Yoga Pangestu,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
15,Sistem rekomendasi pembelian pemain menggunakan algoritma content based filtering pada master league game pro evolution soccer 2020 / Dhimas Febri Subhiriyantoni,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
16,Prediksi poin pemain pada game playerunknown\'s battleground mode solo menggunakan algoritma linear regression / Dwiki Bagus Putranto,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
17,Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game online Dota 2 menggunakan algoritma linear regression / Rifki Arditya Pradana,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
18,Prediksi kemenangan tim pada game mobile legend menggunakan atribut hero dengan metode k-means clustering pada naive bayes / Mohamad Ridlo Fadli,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
19,Klasifikasi kualitas buku digital melalui smart behaviour recognising dan algoritma sistem rekomendasi collaborative filtering pada reading teks, game dan AR media / Dicki Dwi Prasetya,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
20,Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok tantangan dalam game flappy bird menggunakan algoritma K-Nearest Nighbor (KNN) / Hidayatul Hasanah,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
21,Aplikasi Procedural Content Generation (PCG) untuk kategorisasi blok tantangan dalam game flappy bird menggunakan algoritma Multi Layer Perception (MLP) / M. Iqbal Fathurrozi,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
22,Pengembangan modul mata kuliah sosioteknologi informatika berbasis CDIO pada Prodi S1 Teknik Informatika Universitas Negeri Malang / Akhimullah Akmal Fattah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
23,Pengembangan modul praktikum struktur data berbasis java S1 Teknik Informatika Universitas Negeri Malang / Soni Prasetyo,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
24,Tingkat literasi media dalam pencarian sumber informasi mahasiswa Program Studi S1 Teknik Informatika Universitas Negeri Malang / Adinda Cahya Budiyanti,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
25,Perbandingan algoritma Naive Bayes dan C4.5 untuk prediksi kelulusan mahasiswa dalam ruang belajar virtual / Erwina Nurul Azizah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
26,Peramalan pengunjung unik jurnal elektronik menggunakan metode backpropagation neural network dengan mean dan median smoothing / Agung Bella Putra Utama,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
27,Analisis klasifikasi terbaik pada algoritma data mining berbasis bagging / Putri Gustini,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
28,Klasifikasi tingkat kesulitan soal berdasarkan hasil quiz dengan algoritma random forest dan k-nearest neighbor / Muhammad Adhitya Widhianto,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
29,Pengecekan kesalahan dengan damerau levenshtein distance menggunakan fitur layout qwerty / Ni'matul Ulfah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
30,Analisis literasi digital calon guru teknik komputer dan informatika pada masa pandemi covid-19 (studi kasus mahasiswa 2018 pti – FT Universitas Negeri Malang) / Mirza Rachmad Pratama,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
31,Pengembangan sistem pendukung keputusan pemilihan dosen pembimbing skripsi dengan metode TOPSIS di Program Studi Pendidikan Teknik Informatika / Tantri Hari Mukti,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
